Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.34	381.99	2	2021-01-08	381.24	False
2021-01-11	LOWER	378.24	372.57	0	2021-01-13	379.76	False
2021-01-14	UPPER	380.59	386.3	3	2021-01-15	374.76	False
2021-01-15	LOWER	375.3	369.67	4	2021-01-15	375.68	False
2021-01-20	UPPER	380.96	386.67	2	2021-01-22	382.85	False
2021-01-25	LOWER	381.25	375.53	0	2021-01-27	374.44	True
2021-01-29	LOWER	373.82	368.21	4	2021-01-29	370.2	False
2021-02-02	UPPER	381.08	386.8	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.81	390.58	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.34	395.18	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.35	397.22	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	399.81	1	2021-02-17	392.44	False
2021-02-18	LOWER	389.56	383.72	3	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	381.07	0	2021-02-24	391.87	False
2021-02-24	UPPER	391.89	397.77	2	2021-02-25	386.56	False
2021-02-25	LOWER	382.82	377.08	3	2021-02-26	380.32	False
Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.7	382	2	2021-01-08	381.24	False
2021-01-12	LOWER	377.93	372	1	2021-01-13	379.76	False
2021-01-14	UPPER	381.0	387	3	2021-01-15	374.76	False
2021-01-15	LOWER	375.3	370	4	2021-01-15	375.68	False
2021-01-20	UPPER	381.09	387	2	2021-01-22	382.85	False
2021-01-25	LOWER	381.25	376	0	2021-01-27	374.44	True
2021-01-29	LOWER	372.73	367	4	2021-01-29	370.2	False
2021-02-02	UPPER	382.48	388	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.89	391	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.47	395	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.5	397	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	400	1	2021-02-17	392.44	False
2021-02-18	LOWER	389.56	384	3	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	381	0	2021-02-24	391.87	False
2021-02-24	UPPER	391.89	398	2	2021-02-25	386.56	False
2021-02-25	LOWER	381.53	376	3	2021-02-26	380.32	False
Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.7	381	2	2021-01-08	381.24	True
2021-01-12	LOWER	377.93	368	1	2021-01-13	379.76	False
2021-01-14	UPPER	381.0	386	3	2021-01-15	377.19	False
2021-01-15	LOWER	377.01	368	4	2021-01-15	375.68	False
2021-01-20	UPPER	381.09	386	2	2021-01-22	382.85	False
2021-01-25	LOWER	381.25	372	0	2021-01-26	385.56	False
2021-01-27	LOWER	378.39	369	2	2021-01-29	370.2	False
2021-02-02	UPPER	382.48	387	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.89	390	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.47	394	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.5	396	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	399	1	2021-02-17	389.63	False
2021-02-18	LOWER	389.56	380	3	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	377	0	2021-02-24	390.88	False
2021-02-24	UPPER	391.87	397	2	2021-02-25	387.85	False
2021-02-25	LOWER	381.53	372	3	2021-02-26	385.46	False
Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.34	381	2	2021-01-08	381.24	True
2021-01-12	LOWER	378.13	369	1	2021-01-13	379.76	False
2021-01-14	UPPER	380.84	386	3	2021-01-15	377.01	False
2021-01-15	LOWER	377.21	368	4	2021-01-15	375.68	False
2021-01-20	UPPER	380.96	386	2	2021-01-22	382.85	False
2021-01-25	LOWER	381.25	372	0	2021-01-26	385.56	False
2021-01-26	UPPER	385.19	390	1	2021-01-27	378.39	False
2021-01-27	LOWER	378.09	369	2	2021-01-29	370.2	False
2021-02-02	UPPER	382.48	387	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.83	390	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.34	394	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.35	396	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	399	1	2021-02-17	389.63	False
2021-02-18	LOWER	389.56	380	3	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	377	0	2021-02-24	390.88	False
2021-02-24	UPPER	391.87	397	2	2021-02-25	387.85	False
2021-02-25	LOWER	381.53	372	3	2021-02-26	385.46	False
Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.34	381	2	2021-01-08	381.24	True
2021-01-12	LOWER	378.13	369	1	2021-01-13	379.76	False
2021-01-14	UPPER	380.84	386	3	2021-01-15	377.01	False
2021-01-15	LOWER	377.21	368	4	2021-01-15	375.68	False
2021-01-20	UPPER	380.96	386	2	2021-01-22	382.85	False
2021-01-25	LOWER	381.25	372	0	2021-01-26	385.56	False
2021-01-26	UPPER	385.19	390	1	2021-01-27	378.39	False
2021-01-27	LOWER	378.09	369	2	2021-01-29	370.2	False
2021-02-02	UPPER	382.48	387	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.83	390	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.34	394	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.35	396	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	399	1	2021-02-17	389.63	False
2021-02-18	LOWER	389.56	380	3	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	377	0	2021-02-24	390.88	False
2021-02-24	UPPER	391.87	397	2	2021-02-25	387.85	False
2021-02-25	LOWER	381.53	372	3	2021-02-26	385.46	False
2021-02-25	LOWER	381.53	372	3	2021-03-01	389.52	False
Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.34	381	2	2021-01-08	381.24	True
2021-01-11	UPPER	380.41	385	0	2021-01-13	379.76	False
2021-01-14	UPPER	380.28	385	3	2021-01-15	376.42	False
2021-01-15	LOWER	374.76	365	4	2021-01-15	375.68	False
2021-01-20	UPPER	380.96	386	2	2021-01-22	382.85	False
2021-01-25	UPPER	384.41	389	0	2021-01-25	380.07	False
2021-01-25	LOWER	378.89	369	0	2021-01-25	382.98	False
2021-01-26	UPPER	385.56	390	1	2021-01-27	378.39	False
2021-01-27	LOWER	378.09	369	2	2021-01-29	370.2	False
2021-02-02	UPPER	382.48	387	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.81	390	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.34	394	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.35	396	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	399	1	2021-02-17	389.63	False
2021-02-17	LOWER	389.94	380	2	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	377	0	2021-02-24	390.88	False
2021-02-24	UPPER	391.04	396	2	2021-02-25	386.56	False
2021-02-25	LOWER	382.15	373	3	2021-02-26	380.32	False
2021-03-01	UPPER	390.35	395	0	2021-03-01	389.52	False
Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.34	381	2	2021-01-08	381.24	True
2021-01-11	UPPER	380.41	385	0	2021-01-13	379.76	False
2021-01-14	UPPER	380.28	385	3	2021-01-15	376.42	False
2021-01-15	LOWER	374.76	365	4	2021-01-15	375.68	False
2021-01-20	UPPER	380.96	386	2	2021-01-22	382.85	False
2021-01-25	UPPER	384.41	389	0	2021-01-25	380.07	False
2021-01-25	LOWER	378.89	369	0	2021-01-25	382.98	False
2021-01-26	UPPER	385.56	390	1	2021-01-27	378.39	False
2021-01-27	LOWER	378.09	369	2	2021-01-29	370.2	False
2021-02-02	UPPER	382.48	387	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.81	390	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.34	394	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.35	396	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	399	1	2021-02-17	389.63	False
2021-02-17	LOWER	389.94	380	2	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	377	0	2021-02-24	390.88	False
2021-02-24	UPPER	391.04	396	2	2021-02-25	386.56	False
2021-02-25	LOWER	382.15	373	3	2021-02-26	380.32	False
2021-03-01	UPPER	390.35	395	0	2021-03-01	389.52	False
Processing Criteria:
The Bot Processes the Bollinger Bands and enters a trade when a band is within the alert price (band - alert_gap)
The Bot then exits the trade when exit trade price is crossed, or the end of day Wednesday / Friday (depending on trade open day.)
Alert Gap: 0.75
Upper Band Exit: 0.9875
Lower Band Exit: 1.0125
Upper Strike Multipler: 1.0125
Lower Strike Multipler: 0.975
Date	Bollinger Band	Alert Price	Strike Price	Trade Start Date	Trade Close Date	Trade Close Price	Crossed
2021-01-06	UPPER	376.34	381	2	2021-01-08	381.24	True
2021-01-11	UPPER	380.41	385	0	2021-01-13	379.76	False
2021-01-14	UPPER	380.28	385	3	2021-01-15	374.76	False
2021-01-15	LOWER	375.3	366	4	2021-01-15	375.68	False
2021-01-20	UPPER	380.96	386	2	2021-01-22	382.85	False
2021-01-25	UPPER	384.41	389	0	2021-01-25	378.89	False
2021-01-25	LOWER	380.75	371	0	2021-01-26	385.56	False
2021-01-26	UPPER	385.19	390	1	2021-01-27	378.39	False
2021-01-27	LOWER	378.09	369	2	2021-01-29	370.2	False
2021-02-02	UPPER	382.48	387	1	2021-02-03	381.86	False
2021-02-04	UPPER	384.81	390	3	2021-02-05	387.67	False
2021-02-08	UPPER	389.34	394	0	2021-02-10	390.09	False
2021-02-11	UPPER	391.35	396	3	2021-02-12	392.69	False
2021-02-16	UPPER	393.9	399	1	2021-02-17	392.44	False
2021-02-18	LOWER	389.56	380	3	2021-02-19	390.03	False
2021-02-22	LOWER	386.87	377	0	2021-02-24	391.87	False
2021-02-24	UPPER	391.89	397	2	2021-02-25	386.56	False
2021-02-25	LOWER	382.15	373	3	2021-02-26	380.32	False
2021-03-01	UPPER	390.35	395	0	2021-03-01	389.52	False
